Time,T1,T2,Q1,Q2
1143.0,54.35,46.712,0.0,60.0
1145.01,54.06,46.68,0.0,60.0
1147.01,53.737,46.809,0.0,60.0
1149.01,53.447,46.68,0.0,60.0
1152.01,53.125,46.938,0.0,60.0
1154.0,52.803,46.938,0.0,60.0
1156.0,52.48,46.744,0.0,60.0
1158.01,52.223,46.938,0.0,60.0
1160.0,51.997,46.809,0.0,60.0
1163.01,51.514,46.68,0.0,60.0
1166.01,50.966,46.809,0.0,60.0
1169.01,50.547,46.68,0.0,60.0
1172.0,50.225,46.873,0.0,60.0
1175.0,49.773,46.938,0.0,60.0
1177.01,49.322,46.68,0.0,60.0
1179.01,48.968,46.809,0.0,60.0
1182.0,48.742,46.809,0.0,60.0
1184.0,48.549,46.744,0.0,60.0
1186.01,48.033,46.744,0.0,60.0
1189.01,47.743,46.712,0.0,60.0
1191.01,47.485,46.744,0.0,60.0
1193.0,47.324,46.809,0.0,60.0
1195.0,46.97,46.841,0.0,60.0
1198.01,46.68,46.39,0.0,60.0
1200.01,46.293,46.422,0.0,60.0
1202.0,46.1,46.551,0.0,60.0
1204.01,45.874,46.486,0.0,60.0
1206.01,45.681,46.422,0.0,60.0
1208.0,45.391,46.551,0.0,60.0
1210.02,45.068,46.357,0.0,60.0
1212.01,44.907,46.551,0.0,60.0
1214.01,44.649,46.551,0.0,60.0
1217.02,44.424,46.229,0.0,60.0
1219.0,44.037,46.325,0.0,60.0
1221.0,43.973,46.229,0.0,60.0
1223.01,43.779,46.1,0.0,60.0
1225.01,43.425,46.229,0.0,60.0
1227.0,43.135,46.229,0.0,60.0
1229.0,43.135,46.196,0.0,60.0
1231.01,42.909,45.906,0.0,60.0
1233.01,42.78,45.906,0.0,60.0
1236.01,42.394,45.971,0.0,60.0
1239.01,42.136,45.906,0.0,60.0
1241.0,41.846,45.81,0.0,60.0
1243.01,41.846,45.552,0.0,60.0
1245.01,41.556,45.648,0.0,60.0
1247.01,41.491,45.648,0.0,60.0
1249.01,41.201,45.584,0.0,60.0
1252.01,40.879,45.648,0.0,60.0
1255.02,40.653,45.229,0.0,60.0
1258.01,40.524,45.358,0.0,60.0
1261.01,40.234,45.068,0.0,60.0
1263.0,39.977,45.262,0.0,60.0
1265.0,39.912,45.197,0.0,60.0
1267.01,39.654,45.197,0.0,60.0
1269.0,39.59,44.907,0.0,60.0
1271.01,39.268,44.843,0.0,60.0
1273.0,39.268,45.068,0.0,60.0
1275.01,39.01,44.939,0.0,60.0
1277.0,38.945,45.004,0.0,60.0
1279.01,38.72,44.939,0.0,60.0
1281.01,38.623,44.939,0.0,60.0
1283.0,38.462,44.907,0.0,60.0
1285.01,38.301,44.811,0.0,60.0
1287.01,38.14,44.617,0.0,60.0
1289.01,37.979,44.617,0.0,60.0
1291.01,37.688,44.617,0.0,60.0
1293.01,37.721,44.617,0.0,60.0
1295.01,37.656,44.682,0.0,60.0
1298.0,37.495,44.359,0.0,60.0
1301.0,37.334,44.359,0.0,60.0
1304.02,37.044,44.295,0.0,60.0
1306.01,37.012,44.295,0.0,60.0
1308.01,36.786,44.295,0.0,60.0
1310.01,36.657,44.23,0.0,60.0
1313.01,36.367,44.166,0.0,60.0
1316.02,36.271,43.908,0.0,60.0
1319.0,36.077,43.973,0.0,60.0
1322.0,36.045,43.844,0.0,60.0
1325.0,35.723,43.779,0.0,60.0
1328.01,35.658,43.715,0.0,60.0
1331.01,35.4,43.715,0.0,60.0
1334.0,35.4,43.65,0.0,60.0
1337.02,35.078,43.586,0.0,60.0
1340.01,35.078,43.586,0.0,60.0
1343.01,34.82,43.328,0.0,60.0
1346.01,34.756,43.264,0.0,60.0
1349.01,34.724,43.264,0.0,60.0
1352.01,34.434,43.264,0.0,60.0
1355.01,34.434,43.393,0.0,60.0
1358.0,34.272,43.231,0.0,60.0
1361.0,34.111,43.006,0.0,60.0
1364.0,34.111,42.941,0.0,60.0
1367.01,33.854,42.877,0.0,60.0
1370.02,33.789,43.038,0.0,60.0
1373.02,33.789,42.748,0.0,60.0
1376.01,33.596,42.748,0.0,60.0
1379.0,33.467,42.748,0.0,60.0
1382.01,33.37,42.748,0.0,60.0
1385.02,33.37,42.361,0.0,60.0
1388.0,33.145,42.361,0.0,60.0
1391.01,33.08,42.168,0.0,60.0
1394.0,32.983,42.168,0.0,60.0
1397.0,32.822,42.168,0.0,60.0
1400.0,32.822,42.361,0.0,60.0
1403.02,32.822,42.297,0.0,60.0
1406.01,32.5,42.104,0.0,60.0
1409.0,32.5,42.039,0.0,60.0
1412.0,32.5,42.104,0.0,60.0
1415.01,32.5,41.975,0.0,60.0
1418.01,32.436,41.975,0.0,60.0
1421.01,32.339,41.685,0.0,60.0
1424.01,32.178,41.813,0.0,60.0
1427.01,32.146,41.781,0.0,60.0
1430.0,32.146,41.717,0.0,60.0
1433.01,32.049,41.588,0.0,60.0
1436.01,31.92,41.717,0.0,60.0
1439.01,31.855,41.523,0.0,60.0
1442.01,31.823,41.395,0.0,60.0
1445.0,31.565,41.266,0.0,60.0
1448.0,31.533,41.362,0.0,60.0
1451.01,31.533,41.395,0.0,60.0
1454.01,31.437,41.137,0.0,60.0
1457.0,31.533,41.201,0.0,60.0
1460.02,31.372,41.233,0.0,60.0
1463.02,31.211,41.008,0.0,60.0
1465.0,31.243,40.879,0.0,60.0
1468.0,31.211,40.943,0.0,60.0
1470.01,31.211,40.943,0.0,60.0
1472.01,31.114,41.04,0.0,60.0
1474.0,31.211,40.847,0.0,60.0
1476.01,31.082,40.557,0.0,60.0
1479.01,30.953,40.814,0.0,60.0
1481.01,30.921,40.75,0.0,60.0
1484.01,30.889,40.686,0.0,60.0
1487.0,30.856,40.524,0.0,60.0
1489.01,30.889,40.492,0.0,60.0
1491.01,30.889,40.363,0.0,60.0
1493.01,30.728,40.428,0.0,60.0
1496.02,30.856,40.428,0.0,60.0
1499.01,30.631,40.428,0.0,60.0
1502.0,30.599,40.299,0.0,60.0
1504.0,30.566,40.46,0.0,60.0
